ID,Source_EN,Reference_BA,Greedy_Output,Beam3_Output,Beam5_Output,Source_Len,Ref_Len,Greedy_Len,Beam3_Len,Beam5_Len
110,Are they Hebrews? So am I. Are they Israelites? So am I. Are they Abraham’s descendants? So am I.,Lepeŋat ŋona a ŋutu ti Ebere le? Nan köti a Eberetyo. Lepenat ŋona a ŋutu ti Yisaraele le? Nan köti a Yisaraeletyo. Lepeŋat ŋona a nya- kwariat ti Abarayama le? Nan köti a nyakwari lo Abarayama.,"A a ko ta,',, na, adi Do,,,,,, do,,,,,,,,,,,,,.","A a '' ko, adi Do ta,,,,,,,,,,,, do,,,,,, na,,,,,.","A a '' ko,, adi Do ta,,,,,,,,,,, do, nadit?, nye waddi ko,,,,,,,.",19,36,8,9,12
11,"In speaking of the angels he says, “He makes his angels winds, his servants flames of fire.”","A Ŋun jambi i kulya ti malaikajin adi, Nye a kondya malaikajin kanyit a köbuŋötön, a kondi kakitak kanyit gwoso ŋorju na ŋedepa ti kimaŋ.","A ŋutu waddi adi, a '' ko i,, nabut, ko lorok, ko,, ko. ko nagon a lwölwöŋ ko","A ŋutu waddi ko adi, '' i na nagon a ko lorok,, ko,, ko lwölwöŋ ko,, ko., ta kobörik","A ŋutu waddi ko adi, '' i na nagon a kobörik ko,, ko,, ko lorok, ko., ta ko ko lwölwöŋ",17,25,18,19,20
185,"and said, “Give me also this ability so that everyone on whom I lay my hands may receive the Holy Spirit.”","a kulyani adi, Tiki ta nan ŋina riŋit köti, anyen ko nan a sopakindya könisi kwe ko lele ŋuto ki, a nye mo wuji Mulökötyo Loke.","A a kulyani lepeŋ, adi Do,,, ko,,,,,,,,,,,,, ŋuto ko,,. a '', na","A a kulyani ko adi,,,,,,,,,,,,,,,,,,, ŋuto '' i na,, ti,.","A a kulyani lepeŋ, adi Do,,, ko,,,,,,,,,,,,, ŋuto ko,, ko,, ti,.",21,26,12,10,11
78,"Obey your leaders and submit to their authority. They keep watch over you as men who must give an account. Obey them so that their work will be a joy, not a burden, for that would be of no advantage to you.","Twöji ta temejik kasu ko kugge ta lepeŋat, kogwon lepeŋat titi ta gwoso ŋutu logon mo pipiya i kulya kasu. Ti ta gwe ti todelyaju lepeŋat anyen se kita ko lyöŋön, kogwon ko se kita ko 'du'duatu a kine kulya tine ŋarakindya ta.","A a waddi adi,,,, ko,,,,,,,,,,,, ko,,, ko,, ko,, ko, i na.","A a waddi adi,,,, ko,,,,,,,,,,,, ko,, ko,, ko,, ko, i na ti'.","A Yesu waddi adi, a,,, ko,,,,,,,,,,, ko,,, ko,, ko,, ko, i na ti.",42,43,11,12,13
539,"Many of the Samaritans from that town believed in him because of the woman’s testimony, “He told me everything I ever did.”","A ŋutu ti Samaria lo gwon i ŋinu köji kulu yubbe Yesu, kogwon ŋuto na aje tokorju adi, Lepeŋ aje takin nan ŋo liŋ nagon nan aje kon kune.","A a ŋutu '' i, a, a, a, a, a lorok,,, ko,,,. a ŋuto a lwölwöŋ,,","A a ŋutu '', i na a a, a, a, a lorok,, a, ko,,,,,. nagon ' a lwölwöŋ,","Ama a ŋutu logon '', i na, a a, a, a lorok,, a,, ko,,,,,. nagon ' a lwölwöŋ,",22,29,16,18,18
183,“Show me a denarius. Whose portrait and inscription are on it?”,Kweki ta nan gurusutöt. Ŋina ŋöjinöti se ko kilo wuresi a ti ŋa? A se waddi adi a ti Kaisar.,"A nagon gwe ko i, nu a a a adi,,.","A nagon gwe ko i na, a nu a Yesu' adi,,. nan","A nagon gwe ko i na, a nu a Yesu', adi Pon.",11,20,10,12,12
450,"Now, Lord, consider their threats and enable your servants to speak your word with great boldness.","Nyenagon pon Matat, mete met tokujöndu nase na yi, ko tiki yi kölipönök kulök i jambu na kuIyaet ilot ko topurwan a duma.","Ti ko lo a, ko, a, ko, a,? a a ko. a' i na, a,.","Ti ko a lobut ko, ko, a? a, ko, a,. ŋutu '' i na, a.","Ti ko a lobut ko, ko, a? a a, ko, a,. a '' i na, a.",16,23,15,15,16
228,"If you believed Moses, you would believe me, for he wrote about me.","Ko ta ködyö a yup Mose, a ta ködyö yubbe nan, kogwon lepeŋ lo wurjö kulya kwe.","A a '', i,,,, a, ko,,,. a a, adi Lepeŋat, ti.","A a waddi adi,, '', i na, a, ko,,. a ti,,. a.","A a waddi adi,, '', i, a, ko, a,,. a '', na,.",13,17,11,12,12
83,"But he was not strong enough, and they lost their place in heaven.","ama a se iŋge tela, a se köti gwe 'bak nene pirit ki yu kwöŋ.","A ko ŋutu '' i na, a,,,,, ko,, ko,, ko. ko!","A i na ko nagon '' a, ŋutu,,, ko, ko, ko, ko,, ko.! a ko ko.","A i nagon '' ko, a, na,, ko,, ko, ko, ko, ko,, ko.!",13,15,11,16,13
77,He chose to be ill-treated along with the people of God rather than to enjoy the pleasures of sin for a short time.,"a lepeŋ wulundye sasanya ko ŋutu ti Ŋun i pirit na geleŋ, lwölwöŋ tulyöŋgu mugun ko ŋo ti toron nagon ti si'da diŋit a najo kune.","Ti ko lo kobörik, a geleŋ, ko,,,,,,,,. a '', na,,,,, ko,","Ti ŋutu lo ko i, geleŋ a kobörik, ko,, ko,, ko,,,,,,,. a '', na.","Ti ŋutu lo ko i, geleŋ a kobörik, ko,, ko,,,,,,,,,,. a '', na.",23,26,11,14,13
291,Then Jesus came from Galilee to the Jordan to be baptised by John.,Nyena a Yesu ŋiu kaŋo i Galilaya a pondi Yardene ko Yoane ni i batisa ko lepeŋ.,"Ama ta ' ŋutu i, a kobörik, na., ta ko ta","Ama ta a '' i na, kobörik, ta, ta, ta. ta","Ama ŋutu ta '' i na a, ko,, ta,. ta ko ta, ta....",13,17,11,11,13
478,"Joseph, a Levite from Cyprus, whom the apostles called Barnabas ,","A lele ŋuto kata karin kanyit a Yosepa, logon luyökie luŋ a Barnaba. Ŋilo ŋuto a Lewityo ko a ŋuto lo Kuprio.","A na ŋutu ko i, a nu a nye adi,,,.","A i na ŋutu ko, a nu a nye adi,, '',.","A i na ko nagon a, nu a ŋutu jore adi,, '',..",11,22,10,11,12
189,"The woman was given the two wings of a great eagle, so that she might fly to the place prepared for her in the desert, where she would be taken care of for a time, times and half a time, out of the serpent’s reach.","A ŋina ŋuto tikine köpukön murek ti yuku logon a duma, anyen 'daaddu pajo ko munu i yöbu kata kanyit i pirit nagon rurukarikin lepeŋ 'bura ko kiŋajin musala ko swöt nu.","Ama a ' i ti, kode i na ko,,,,,,,, ko,,, ko,,, ko,,. a ko, kobörik","Ama ko ti '' i na, a i, kode i,,,,,,,,,, ko,,, ko,,, ko,,. kobörik","Ama ko ti '' i na, kode a, i,,,,,,, ko,, ko,,, ko,,, ko,,, ko,,.",45,32,15,14,14
287,"We are confident, I say, and would prefer to be away from the body and at home with the Lord.","Yi totopurwan, a yi 'deke ŋiörö i kune mugunya anyen yi tu si'da ko Matat i pirit na geleŋ.","Ama ko '', i na a,,,,,,,, se,,,,, ko,. a ŋutu lorok kobörik","Ama ko a '', i na,', a,,, se,,,,,,,. ŋutudi a, ko lorok","Ama ŋutu '' ko, i na, a',,,,,, se,,,, ko,, ko., ta kobörik, ko lorok, ko.",20,19,12,12,15
